Time,pH ,Salinity ,Temp
01-Feb-21,7.618503,NaN,8
02-Feb-21,7.611769,7.656562662,7
03-Feb-21,7.60363,7.649324664,6
04-Feb-21,7.598426,7.643377292,9
05-Feb-21,7.587929,7.631906007,8
06-Feb-21,7.573372,7.614799954,7
07-Feb-21,7.579213,7.62473441,8
08-Feb-21,7.572655,7.616214456,7
09-Feb-21,7.567646,7.612286088,7
10-Feb-21,7.576729,7.628160301,7
11-Feb-21,7.582085,7.635770486,9
12-Feb-21,7.592889,7.648920544,8
13-Feb-21,7.611667,7.667516875,8
14-Feb-21,7.621388,7.680221898,6
15-Feb-21,7.632259,7.687042106,8
16-Feb-21,7.618712,7.671849618,7
17-Feb-21,7.619789,7.674949317,8
18-Feb-21,7.592203,7.640779289,9
19-Feb-21,7.580309,7.627821898,6
20-Feb-21,7.578962,7.62940787,9
21-Feb-21,7.583624,7.635492211,7
22-Feb-21,7.594803,7.649658681,7
23-Feb-21,7.599375,7.655311389,6
24-Feb-21,7.596811,7.651927639,6
25-Feb-21,7.586143,7.635511586,6
26-Feb-21,7.585802,7.636602419,9
27-Feb-21,7.582147,7.634160926,8
28-Feb-21,7.591926,7.638584363,6
2021-02-29,NaN,7.648584363,7
01-Mar-21,7.593053,7.640475243,7
02-Mar-21,7.616699,7.668982593,8
03-Mar-21,7.624034,7.680034016,8
04-Mar-21,7.620549,7.678087369,8
05-Mar-21,7.612294,7.666844907,8
06-Mar-21,7.586711,7.646221574,8
07-Mar-21,7.58464,7.64501515,8
08-Mar-21,7.568996,7.631945347,7
09-Mar-21,7.594848,7.656936771,8
10-Mar-21,7.602158,7.658814583,8
11-Mar-21,7.578111,7.632538738,7
12-Mar-21,7.592725,7.64487544,8
13-Mar-21,7.609668,7.662094618,7
14-Mar-21,7.610138,7.660743449,8
15-Mar-21,7.633123,7.673724421,8
16-Mar-21,7.583613,7.623012488,8
17-Mar-21,7.536215,7.573681065,7
18-Mar-21,7.509884,7.549078345,8
19-Mar-21,7.492421,7.5311464,8
20-Mar-21,7.410938,7.452362488,8
21-Mar-21,7.371617,7.414477685,8
22-Mar-21,7.470257,7.513555845,8
23-Mar-21,7.476345,7.519024688,8
24-Mar-21,7.500265,7.542389861,8
25-Mar-21,7.496939,7.540126713,8
26-Mar-21,7.502919,7.545870093,8
27-Mar-21,7.569285,7.610325255,8
28-Mar-21,7.590177,7.631780579,8
29-Mar-21,7.563989,7.610786794,8
30-Mar-21,7.537654,7.577405567,8
31-Mar-21,7.547654,NaN,8
